ts,level,code,detail
2026-04-08T00:11:33-07:00,INFO,ORCH_NO_INTENT,reg=CHOP dir=1 p=0.40 pb=0.63 why=DIP:no_discount;TPB:p_trend_low;MOMO:p_trend_low;MOMO:atrp_low blocker_family=regime_unsuitable
2026-04-08T00:11:35-07:00,INFO,HB,mode=FLAT px=2247.63 bid=2247.70 ask=2247.71 sprd=0.01 reg=CHOP p=0.40 chop=0.60 pb=0.63 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=59.57 cd=0s obi=0.90 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=4s c5=4s errs=0
2026-04-08T00:11:50-07:00,INFO,HB,mode=FLAT px=2248.73 bid=2248.72 ask=2248.73 sprd=0.01 reg=CHOP p=0.40 chop=0.60 pb=0.63 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=59.57 cd=0s obi=-0.71 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=20s c5=19s errs=0
2026-04-08T00:12:00-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2248.64
2026-04-08T00:12:05-07:00,INFO,HB,mode=FLAT px=2247.83 bid=2248.05 ask=2248.06 sprd=0.01 reg=CHOP p=0.42 chop=0.58 pb=0.62 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=64.76 cd=0s obi=0.81 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=5s c5=4s errs=0
2026-04-08T00:12:21-07:00,INFO,HB,mode=FLAT px=2248.07 bid=2248.16 ask=2248.17 sprd=0.01 reg=CHOP p=0.42 chop=0.58 pb=0.62 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=64.76 cd=0s obi=0.13 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=20s c5=20s errs=0
2026-04-08T00:12:30-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2248.64
2026-04-08T00:12:33-07:00,INFO,MARGIN_TRUTH,open_n=0 eff=0 sym_active=0 fetch_fail=0 tracked=0 query_fail=0 tradeType=MARGIN_TRADE
2026-04-08T00:12:33-07:00,INFO,ORCH_NO_INTENT,reg=CHOP dir=1 p=0.40 pb=0.62 why=DIP:no_discount;TPB:p_trend_low;MOMO:p_trend_low;MOMO:atrp_low blocker_family=regime_unsuitable
2026-04-08T00:12:36-07:00,INFO,HB,mode=FLAT px=2248.63 bid=2248.63 ask=2248.64 sprd=0.01 reg=CHOP p=0.40 chop=0.60 pb=0.62 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=64.31 cd=0s obi=-0.57 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=5s c5=5s errs=0
